
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       15,582,654.00 |               64.17 |    0.0% |  195,035,147.89 |   61,865,525.33 |  3.153 |  22,020,103.62 |    0.0% |      2.98 | `len=18`
|       14,438,046.65 |               69.26 |    0.0% |  184,549,387.56 |   57,298,604.24 |  3.221 |  20,971,527.28 |    0.0% |      2.76 | `len=17`
|       13,722,656.39 |               72.87 |    0.0% |  174,063,627.35 |   54,444,075.94 |  3.197 |  19,922,951.06 |    0.0% |      2.62 | `len=16`
|       12,660,439.81 |               78.99 |    0.0% |  163,577,867.06 |   50,216,279.00 |  3.257 |  18,874,374.75 |    0.0% |      2.42 | `len=15`
|       11,490,723.76 |               87.03 |    0.1% |  153,092,106.69 |   45,564,022.65 |  3.360 |  17,825,798.41 |    0.0% |      2.20 | `len=14`
|       10,607,695.76 |               94.27 |    0.0% |  142,606,346.44 |   42,056,495.68 |  3.391 |  16,777,222.12 |    0.0% |      2.03 | `len=13`
|        9,912,376.47 |              100.88 |    0.2% |  132,120,586.22 |   39,292,362.76 |  3.363 |  15,728,645.94 |    0.0% |      1.89 | `len=12`
|        9,032,179.12 |              110.72 |    0.3% |  121,634,825.94 |   35,811,392.59 |  3.397 |  14,680,069.65 |    0.0% |      1.72 | `len=11`
|        8,166,681.21 |              122.45 |    0.0% |  111,149,065.67 |   32,378,075.65 |  3.433 |  13,631,493.39 |    0.0% |      1.56 | `len=10`
|        7,377,634.94 |              135.54 |    0.0% |  100,663,305.44 |   29,245,164.65 |  3.442 |  12,582,917.17 |    0.0% |      1.41 | `len=9`
|        6,421,033.22 |              155.74 |    0.1% |   90,177,545.17 |   25,442,535.32 |  3.544 |  11,534,340.88 |    0.0% |      1.23 | `len=8`
|        5,584,304.06 |              179.07 |    0.0% |   79,691,784.89 |   22,127,327.12 |  3.602 |  10,485,764.62 |    0.0% |      1.07 | `len=7`
|        5,033,260.62 |              198.68 |    0.1% |   69,206,024.74 |   19,949,327.94 |  3.469 |   9,437,188.44 |    0.0% |      0.96 | `len=6`
|        4,246,695.74 |              235.48 |    0.0% |   58,720,264.50 |   16,830,898.61 |  3.489 |   8,388,612.21 |    0.0% |      0.81 | `len=5`
|        3,136,385.89 |              318.84 |    0.2% |   48,234,504.18 |   12,409,600.17 |  3.887 |   7,340,035.88 |    0.0% |      0.60 | `len=4`
|        2,617,328.38 |              382.07 |    0.0% |   37,748,744.00 |   10,376,320.65 |  3.638 |   6,291,459.74 |    0.0% |      0.50 | `len=3`
|        1,823,434.68 |              548.42 |    0.0% |   27,262,983.78 |    7,233,009.33 |  3.769 |   5,242,883.50 |    0.0% |      0.35 | `len=2`
|        1,066,597.74 |              937.56 |    0.0% |   15,728,647.56 |    4,230,705.29 |  3.718 |   3,145,731.26 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       14,676,180.06 |               68.14 |    0.0% |  198,180,875.63 |   58,209,021.06 |  3.405 |  24,117,255.35 |    0.0% |      2.80 | `len=18`
|       13,733,935.72 |               72.81 |    0.0% |  187,695,115.37 |   54,470,179.00 |  3.446 |  23,068,679.06 |    0.0% |      2.62 | `len=17`
|       12,793,382.88 |               78.17 |    0.0% |  177,209,355.06 |   50,733,168.67 |  3.493 |  22,020,102.78 |    0.0% |      2.44 | `len=16`
|       11,931,772.56 |               83.81 |    0.0% |  166,723,594.81 |   47,321,241.00 |  3.523 |  20,971,526.53 |    0.0% |      2.28 | `len=15`
|       10,763,786.94 |               92.90 |    0.0% |  156,237,834.44 |   42,677,741.25 |  3.661 |  19,922,950.17 |    0.0% |      2.06 | `len=14`
|        9,792,253.59 |              102.12 |    0.0% |  145,752,074.18 |   38,826,915.79 |  3.754 |  18,874,373.88 |    0.0% |      1.87 | `len=13`
|        9,026,017.12 |              110.79 |    0.0% |  135,266,313.95 |   35,780,113.74 |  3.780 |  17,825,797.68 |    0.0% |      1.72 | `len=12`
|        8,083,007.44 |              123.72 |    0.0% |  124,780,553.65 |   32,033,472.00 |  3.895 |  16,777,221.37 |    0.0% |      1.54 | `len=11`
|        7,242,070.84 |              138.08 |    0.4% |  114,294,793.41 |   28,685,742.58 |  3.984 |  15,728,645.12 |    0.0% |      1.38 | `len=10`
