algo/len,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
isd-0,1057587.17,1757809.12,2429581.88,3146097.72,3832035.18,4526164.87,5208390.61,6089671.22,6674883.71,7489828.76,8084533.16,8823480.33,9424871.95,10083637.00,10772981.53,11566255.06,12221491.67,12945637.37
isd-u8,881562.87,1322407.76,2116047.39,2627326.47,3125636.47,4341917.71,4556423.42,5252329.37,5714878.24,6458593.41,6798707.67,7534720.53,8242241.29,8910696.12,10153658.00,10398575.89,11280596.00,12017881.76
isd-sub-1,794140.59,1294001.00,1853094.94,2390601.47,2921120.50,3455039.69,4013178.88,4761355.71,5479997.88,6066255.00,6466031.21,7880048.47,8034375.62,8906422.62,9311999.75,9853686.47,10864639.11,11135005.71
isd-sub-2,798591.00,1321265.17,1709225.78,2194581.65,2590560.32,3062304.69,3556622.29,4192581.06,4766104.69,5316158.41,5787572.72,6573963.75,7168542.41,7762493.29,8332739.18,8923636.61,9632680.31,10586930.56
isd-range-1,793641.44,1296336.41,1853742.11,2375081.00,2929970.58,3472137.42,4073811.62,4800796.89,5144736.06,5622175.68,6521941.00,7781785.88,7583591.83,8461180.12,9089987.12,9987620.00,10838521.72,11330631.19
swar-16,1636438.12,2342956.88,2807248.42,3605092.18,4038186.37,4821593.56,5314527.41,6009378.41,6483917.06,7141367.50,7652994.41,8388481.61,8885095.83,9780302.06,10153176.88,10982139.59,11490843.17,12224797.50
swar-16-1,2378033.72,2113519.50,2254226.74,2501369.76,3349143.26,3518128.19,4486165.72,4581986.82,5756862.79,5672164.12,6848640.33,6772605.50,7938579.53,7934753.05,9166354.44,9199156.61,10416125.68,10463706.78
swar-32,4500646.41,4502726.53,4523139.88,2396320.44,5488176.05,5609463.06,5483396.44,3607764.11,6477113.89,6708582.87,6498199.12,4773818.72,7645163.25,7635763.28,7611172.38,5925738.22,8489020.79,8503922.94
swar-64,4831138.58,4848447.50,4839664.24,4846034.61,4846467.59,4854272.00,4843578.56,2916465.29,6378941.47,6677756.69,6383776.78,6419366.16,6414553.50,6404524.50,6408204.25,4621890.47,8117276.28,8112370.88
pre-16,1586728.00,1146099.16,1851652.71,1821814.00,2403036.89,2594939.88,3148968.94,3470663.42,4040748.42,4414077.94,4958820.56,5383630.11,5991160.11,6402420.47,6949914.53,7467718.37,7995404.19,8465951.12
