
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,901,655.74 |               77.51 |    0.0% |  161,480,715.12 |   51,151,697.88 |  3.157 |  20,971,525.76 |    0.0% |      2.47 | `len=18`
|       12,227,296.28 |               81.78 |    0.0% |  153,092,106.89 |   48,472,733.39 |  3.158 |  19,922,949.56 |    0.0% |      2.34 | `len=17`
|       11,526,034.00 |               86.76 |    0.0% |  144,703,498.69 |   45,687,333.88 |  3.167 |  18,874,373.33 |    0.0% |      2.20 | `len=16`
|       10,814,216.94 |               92.47 |    0.0% |  136,314,890.50 |   42,864,867.69 |  3.180 |  17,825,797.16 |    0.0% |      2.07 | `len=15`
|       10,024,865.38 |               99.75 |    0.0% |  127,926,282.24 |   39,723,465.11 |  3.220 |  16,777,220.89 |    0.0% |      1.92 | `len=14`
|        9,436,425.16 |              105.97 |    0.0% |  119,537,674.06 |   37,407,763.32 |  3.196 |  15,728,644.71 |    0.0% |      1.81 | `len=13`
|        8,829,700.06 |              113.25 |    0.1% |  111,149,065.89 |   34,993,502.18 |  3.176 |  14,680,068.56 |    0.0% |      1.69 | `len=12`
|        8,073,987.11 |              123.85 |    0.0% |  102,760,457.67 |   32,000,798.89 |  3.211 |  13,631,492.31 |    0.0% |      1.54 | `len=11`
|        7,475,970.28 |              133.76 |    0.0% |   94,371,849.47 |   29,622,235.59 |  3.186 |  12,582,916.12 |    0.0% |      1.43 | `len=10`
|        6,674,896.00 |              149.82 |    0.0% |   85,983,241.24 |   26,433,303.89 |  3.253 |  11,534,339.88 |    0.0% |      1.27 | `len=9`
|        6,066,187.06 |              164.85 |    0.1% |   77,594,633.06 |   24,038,747.21 |  3.228 |  10,485,763.71 |    0.0% |      1.16 | `len=8`
|        5,210,456.69 |              191.92 |    0.0% |   69,206,024.81 |   20,634,597.94 |  3.354 |   9,437,187.44 |    0.0% |      1.00 | `len=7`
|        4,537,276.12 |              220.40 |    0.2% |   60,817,416.59 |   17,965,482.06 |  3.385 |   8,388,611.25 |    0.0% |      0.87 | `len=6`
|        3,834,162.39 |              260.81 |    0.0% |   52,428,808.38 |   15,178,540.06 |  3.454 |   7,340,035.05 |    0.0% |      0.73 | `len=5`
|        3,148,200.72 |              317.64 |    0.0% |   44,040,200.18 |   12,456,005.41 |  3.536 |   6,291,458.82 |    0.0% |      0.60 | `len=4`
|        2,444,274.75 |              409.12 |    0.1% |   35,651,591.95 |    9,687,798.00 |  3.680 |   5,242,882.63 |    0.0% |      0.47 | `len=3`
|        1,758,293.69 |              568.73 |    0.0% |   27,262,983.75 |    6,974,439.53 |  3.909 |   4,194,306.41 |    0.0% |      0.34 | `len=2`
|        1,065,546.42 |              938.49 |    0.0% |   17,825,799.56 |    4,226,263.58 |  4.218 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-u8     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       12,054,749.26 |               82.95 |    0.0% |  162,529,290.88 |   47,769,022.29 |  3.402 |  20,971,525.50 |    0.0% |      2.30 | `len=18`
|       11,221,637.65 |               89.11 |    0.0% |  154,140,682.61 |   44,434,290.17 |  3.469 |  19,922,949.26 |    0.0% |      2.14 | `len=17`
|       10,398,848.00 |               96.16 |    0.0% |  145,752,074.35 |   41,175,439.81 |  3.540 |  18,874,373.00 |    0.0% |      1.99 | `len=16`
|        9,836,163.44 |              101.67 |    0.1% |  137,363,466.18 |   38,945,895.94 |  3.527 |  17,825,796.83 |    0.0% |      1.88 | `len=15`
|        8,888,991.44 |              112.50 |    0.1% |  128,974,857.89 |   35,175,360.94 |  3.667 |  16,777,220.56 |    0.0% |      1.70 | `len=14`
|        8,231,431.47 |              121.49 |    0.1% |  120,586,249.69 |   32,576,387.11 |  3.702 |  15,728,644.37 |    0.0% |      1.57 | `len=13`
|        7,830,830.88 |              127.70 |    0.1% |  112,197,641.59 |   30,991,807.00 |  3.620 |  14,680,068.25 |    0.0% |      1.49 | `len=12`
|        6,970,788.88 |              143.46 |    0.0% |  103,809,033.33 |   27,579,593.56 |  3.764 |  13,631,492.00 |    0.0% |      1.33 | `len=11`
|        6,383,732.42 |              156.65 |    0.0% |   95,420,425.17 |   25,256,145.05 |  3.778 |  12,582,915.81 |    0.0% |      1.22 | `len=10`
|        5,527,801.94 |              180.90 |    0.0% |   87,031,816.89 |   21,871,154.37 |  3.979 |  11,534,339.56 |    0.0% |      1.06 | `len=9`
|        5,014,988.44 |              199.40 |    0.1% |   78,643,208.74 |   19,840,286.17 |  3.964 |  10,485,763.39 |    0.0% |      0.96 | `len=8`
|        4,377,769.62 |              228.43 |    0.0% |   70,254,600.56 |   17,325,228.82 |  4.055 |   9,437,187.19 |    0.0% |      0.84 | `len=7`
|        3,752,657.67 |              266.48 |    0.0% |   61,865,992.38 |   14,848,438.47 |  4.166 |   8,388,611.00 |    0.0% |      0.72 | `len=6`
|        3,166,693.11 |              315.79 |    0.1% |   53,477,384.18 |   12,529,158.00 |  4.268 |   7,340,034.83 |    0.0% |      0.60 | `len=5`
|        2,640,373.06 |              378.73 |    0.0% |   45,088,776.00 |   10,442,645.47 |  4.318 |   6,291,458.68 |    0.0% |      0.50 | `len=4`
|        1,999,272.53 |              500.18 |    0.1% |   36,700,167.83 |    7,923,936.83 |  4.632 |   5,242,882.50 |    0.0% |      0.38 | `len=3`
|        1,377,648.12 |              725.87 |    0.0% |   28,311,559.65 |    5,464,934.31 |  5.181 |   4,194,306.29 |    0.0% |      0.26 | `len=2`
|        1,057,580.84 |              945.55 |    0.0% |   18,874,375.56 |    4,195,709.56 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,253,957.71 |               88.86 |    0.0% |  143,654,922.61 |   44,565,558.83 |  3.223 |  20,971,525.26 |    0.0% |      2.15 | `len=18`
|       10,864,911.94 |               92.04 |    0.0% |  136,314,890.47 |   43,019,024.05 |  3.169 |  19,922,949.16 |    0.0% |      2.08 | `len=17`
|        9,854,430.81 |              101.48 |    0.0% |  128,974,858.19 |   39,018,928.44 |  3.305 |  18,874,372.83 |    0.0% |      1.88 | `len=16`
|        9,149,243.33 |              109.30 |    0.1% |  121,634,826.00 |   36,216,821.59 |  3.359 |  17,825,796.63 |    0.0% |      1.75 | `len=15`
|        8,532,838.53 |              117.19 |    0.1% |  114,294,793.78 |   33,799,620.38 |  3.382 |  16,777,220.44 |    0.0% |      1.63 | `len=14`
|        7,992,109.06 |              125.12 |    0.1% |  106,954,761.62 |   31,645,463.76 |  3.380 |  15,728,644.28 |    0.0% |      1.53 | `len=13`
|        7,706,641.06 |              129.76 |    0.0% |   99,614,729.56 |   30,519,367.29 |  3.264 |  14,680,068.21 |    0.0% |      1.47 | `len=12`
|        6,278,269.83 |              159.28 |    0.0% |   92,274,697.12 |   24,850,103.42 |  3.713 |  13,631,491.76 |    0.0% |      1.20 | `len=11`
|        6,038,835.00 |              165.59 |    0.0% |   84,934,665.05 |   23,897,360.62 |  3.554 |  12,582,915.69 |    0.0% |      1.15 | `len=10`
|        5,526,672.83 |              180.94 |    0.1% |   77,594,632.89 |   21,879,843.89 |  3.546 |  11,534,339.56 |    0.0% |      1.06 | `len=9`
|        5,129,013.06 |              194.97 |    0.1% |   70,254,600.76 |   20,297,135.05 |  3.461 |  10,485,763.42 |    0.0% |      0.98 | `len=8`
|        4,283,485.18 |              233.45 |    0.1% |   62,914,568.53 |   16,957,851.50 |  3.710 |   9,437,187.18 |    0.0% |      0.82 | `len=7`
|        3,514,564.21 |              284.53 |    0.0% |   55,574,536.29 |   13,916,053.67 |  3.994 |   8,388,610.94 |    0.0% |      0.67 | `len=6`
|        2,941,501.29 |              339.96 |    0.0% |   48,234,504.12 |   11,647,002.67 |  4.141 |   7,340,034.76 |    0.0% |      0.56 | `len=5`
|        2,366,974.59 |              422.48 |    0.0% |   40,894,471.94 |    9,365,020.29 |  4.367 |   6,291,458.59 |    0.0% |      0.45 | `len=4`
|        1,863,775.81 |              536.55 |    0.1% |   33,554,439.79 |    7,388,513.16 |  4.541 |   5,242,882.44 |    0.0% |      0.36 | `len=3`
